"DER.3.1";"G 0.18";"G 0.19";"G 0.27";"G 0.29";"G 0.46"
"DER.3.1.A01";X;;X;;X
"DER.3.1.A02";X;;;X;
"DER.3.1.A03";X;;;;
"DER.3.1.A04";X;;;;
"DER.3.1.A05";X;X;;;X
"DER.3.1.A06";X;;;;
"DER.3.1.A07";X;;;X;X
"DER.3.1.A08";X;;;X;X
"DER.3.1.A09";X;;X;;X
"DER.3.1.A10";X;;;;
"DER.3.1.A11";X;X;;;
"DER.3.1.A12";X;X;;;
"DER.3.1.A13";X;;;;
"DER.3.1.A14";X;;;X;
"DER.3.1.A15";X;;;;
"DER.3.1.A16";X;;;;
"DER.3.1.A17";X;X;;;
"DER.3.1.A18";X;X;;;
"DER.3.1.A19";X;;;X;
"DER.3.1.A20";X;;;;
"DER.3.1.A21";X;;;;
"DER.3.1.A22";X;;;X;X
"DER.3.1.A23";X;;;X;X
"DER.3.1.A24";X;X;;X;X
"DER.3.1.A25";X;;;X;
"DER.3.1.A26";X;;X;X;X
"DER.3.1.A27";X;;;;X
"DER.3.1.A28";X;;X;X;X
